
CommandType     Name                                               Version    Source
Alias           Get-AzRecoveryServicesBackupProperties             6.7.1      Az.RecoveryServices
Alias           Get-AzRedisEnterpriseCacheAccessKey                1.2.0      Az.RedisEnterpriseCache
Alias           Get-AzRedisEnterpriseCacheDatabaseKey              1.2.0      Az.RedisEnterpriseCache
Alias           Get-AzRegulatoryComplainceAssessment               1.6.0      Az.Security
Alias           Get-AzResourceProviderAction                       6.16.0     Az.Resources
Alias           Get-AzServiceBusNamespaceV2                        3.0.0      Az.ServiceBus
Alias           Get-AzSqlDatabaseLongTermRetentionPolicy           4.14.0     Az.Sql
Alias           Get-AzSqlInstanceTDEProtector                      4.14.0     Az.Sql
Alias           Get-AzStorageContainerAcl                          6.1.2      Az.Storage
Alias           Get-AzSubscriptionDeployment                       6.16.0     Az.Resources
Alias           Get-AzSubscriptionDeploymentOperation              6.16.0     Az.Resources
Alias           Get-AzSubscriptionDeploymentWhatIfResult           6.16.0     Az.Resources
Alias           Get-AzSynapseSqlAudit                              3.0.5      Az.Synapse
Alias           Get-AzSynapseSqlPoolAudit                          3.0.5      Az.Synapse
Alias           Get-AzVmssDiskEncryptionStatus                     7.1.2      Az.Compute
Alias           Get-AzVmssVMDiskEncryptionStatus                   7.1.2      Az.Compute
Alias           Get-PSResource                                     1.0.1      Microsoft.PowerShell.PSResourceGet
Alias           Import-AdlStoreItem                                1.3.0      Az.DataLakeStore
Alias           Import-AzAutomationModule                          1.10.0     Az.Automation
Alias           Import-AzRedisEnterpriseCacheDatabase              1.2.0      Az.RedisEnterpriseCache
Alias           Import-AzSynapseKqlScript                          3.0.5      Az.Synapse
Alias           Import-AzSynapseNotebook                           3.0.5      Az.Synapse
Alias           Import-AzSynapseSparkConfiguration                 3.0.5      Az.Synapse
Alias           Import-AzSynapseSqlScript                          3.0.5      Az.Synapse
Alias           Invoke-AzIotHubConfigMetric                        2.7.5      Az.IotHub
Alias           Invoke-AzIotHubDeployMetric                        2.7.5      Az.IotHub
Alias           Invoke-AzRest                                      2.16.0     Az.Accounts
Alias           Invoke-AzVMAssessPatch                             7.1.2      Az.Compute
Alias           Invoke-AzVMPatchAssess                             7.1.2      Az.Compute
Alias           Join-AdlStoreItem                                  1.3.0      Az.DataLakeStore
